nom,prenom,age,totalbut,poste,equipe
Johnsson,Karl-Johan ,28 janv. 1990(28),10,Gardien de but                            ,EA Guingamp
Bachibou Koita,,15 avr. 1994(24),Journée,Avant centre                            ,SC Amiens
Ben Amar,Sami ,2 mars 1998(20),Journée,Avant centre                            ,Nîmes Olympique
Depres,Clément ,25 nov. 1994(23),9,Avant centre                            ,Nîmes Olympique
Guillaume,Baptiste ,16 juin 1995(23),8,Avant centre                            ,Nîmes Olympique
Alioui,Rachid ,18 juin 1992(26),3,Avant centre                            ,Nîmes Olympique
Bozok,Umut ,19 sept. 1996(22),10,Avant centre                            ,Nîmes Olympique
Vlachodimos,Panagiotis ,12 oct. 1991(27),-,Milieu gauche                            ,Nîmes Olympique
Ripart,Renaud ,14 mars 1993(25),10,Milieu gauche                            ,Nîmes Olympique
Maouassa,Faitout ,6 juil. 1998(20),4,Milieu gauche                            ,Nîmes Olympique
Bouanga,Denis ,11 nov. 1994(23),7,Milieu gauche                            ,Nîmes Olympique
Thioub,Sada ,1 juin 1995(23),10,Milieu droit                            ,Nîmes Olympique
Valdivia,Pierrick ,18 avr. 1988(30),Journée,Milieu central                            ,Nîmes Olympique
Valls,Theo ,18 déc. 1995(22),10,,Nîmes Olympique
Bobichon,Antonin ,14 sept. 1995(23),7,,Nîmes Olympique
Savanier,Téji ,22 déc. 1991(26),5,Milieu central                            ,Nîmes Olympique
Hsissane,Abdel Malik ,28 janv. 1991(27),-,Milieu défensif                            ,Nîmes Olympique
Diallo,Mustapha ,14 mai 1986(32),7,Milieu défensif                            ,Nîmes Olympique
Paquiez,Gaëtan ,15 févr. 1994(24),5,30.06.2020,Nîmes Olympique
Alakouch,Sofiane ,29 juil. 1998(20),9,Arrière droit                            ,Nîmes Olympique
Miguel,Florian ,1 sept. 1996(22),4,Arrière gauche                            ,Nîmes Olympique
Lybohy,Hervé ,23 juil. 1983(35),4,Défenseur central                            ,Nîmes Olympique
Harek,Féthi ,21 oct. 1982(36),1,Défenseur central                            ,Nîmes Olympique
Landre,Loïck ,5 mai 1992(26),8,Défenseur central                            ,Nîmes Olympique
Briancon,Anthony ,28 nov. 1994(23),9,Défenseur central                            ,Nîmes Olympique
Sourzac,Martin ,25 mars 1992(26),Journée,Gardien de but                            ,Nîmes Olympique
Valette,Baptiste ,1 sept. 1992(26),-,Gardien de but                            ,Nîmes Olympique
Bernardoni,Paul ,18 avr. 1997(21),10,Gardien de but                            ,Nîmes Olympique
Ghoddos,Saman ,6 sept. 1993(25),8,Avant centre                            ,SC Amiens
Konaté,Moussa ,3 avr. 1993(25),10,Avant centre                            ,SC Amiens
Timite,Cheick ,20 nov. 1997(20),3,,SC Amiens
Cornette,Quentin ,17 janv. 1994(24),4,Ailier droit                            ,SC Amiens
Otero,Juan Ferney ,26 mai 1995(23),9,Ailier droit                            ,SC Amiens
Traoré,Gaoussou ,4 déc. 1999(18),3,1er niveau,SC Amiens
Mendoza,Stiven ,27 juin 1992(26),4,Ailier gauche                            ,SC Amiens
Kurzawa,Rafal ,29 janv. 1993(25),6,Ailier gauche                            ,SC Amiens
Rabeï,Réda ,12 juil. 1994(24),-,Milieu offensif                            ,SC Amiens
Ganso,,12 oct. 1989(29),7,Milieu offensif                            ,SC Amiens
Gnahoré,Eddy ,14 nov. 1993(24),9,Milieu central                            ,SC Amiens
Zungu,Bongani ,9 oct. 1992(26),2,Milieu central                            ,SC Amiens
Monconduit,Thomas ,10 févr. 1991(27),6,Milieu défensif                            ,SC Amiens
Blin,Alexis ,16 sept. 1996(22),2,Milieu défensif                            ,SC Amiens
Gendrey,Valentin ,21 juin 2000(18),Journée,,SC Amiens
El Hajjam,Oualid ,19 févr. 1991(27),6,Arrière droit                            ,SC Amiens
Krafth,Emil ,2 août 1994(24),9,Arrière droit                            ,SC Amiens
Sy,Sanasi ,4 déc. 1999(18),-,1er niveau,SC Amiens
Lefort,Jordan ,9 août 1993(25),6,Arrière gauche                            ,SC Amiens
Dibassy,Bakaye ,11 août 1989(29),9,Arrière gauche                            ,SC Amiens
Bodmer,Mathieu ,22 nov. 1982(35),10,Défenseur central                            ,SC Amiens
Adénon,Khaled ,28 juil. 1985(33),9,Défenseur central                            ,SC Amiens
Gouano,Prince ,24 déc. 1993(24),6,Défenseur central                            ,SC Amiens
Banaziak,Gauthier ,25 mai 1997(21),Journée,-,SC Amiens
Dreyer,Matthieu ,20 mars 1989(29),-,Gardien de but                            ,SC Amiens
Gurtner,Régis ,8 déc. 1986(31),10,Gardien de but                            ,SC Amiens
Tchokounté,Malik ,11 sept. 1988(30),8,Avant centre                            ,SM Caen
Zohi,Kévin ,19 déc. 1996(21),7,30.06.2021,R. Strasbourg
Ajorque,Ludovic ,25 févr. 1994(24),4,Avant centre                            ,R. Strasbourg
Saadi,Idriss ,8 févr. 1992(26),1,Avant centre                            ,R. Strasbourg
Da Costa,Nuno ,10 févr. 1991(27),10,Avant centre                            ,R. Strasbourg
Mothiba,Lebo ,28 janv. 1996(22),10,Avant centre                            ,R. Strasbourg
Corgnet,Benjamin ,6 avr. 1987(31),6,Milieu offensif                            ,R. Strasbourg
Thomasson,Adrien ,10 déc. 1993(24),8,Milieu offensif                            ,R. Strasbourg
Zemzemi,Moataz ,7 août 1999(19),1,Milieu gauche                            ,R. Strasbourg
Fofana,Youssouf ,10 janv. 1999(19),2,30.06.2021,R. Strasbourg
Gonçalves,Anthony ,6 mars 1986(32),4,Milieu central                            ,R. Strasbourg
Liénard,Dimitri ,13 févr. 1988(30),6,Milieu central                            ,R. Strasbourg
Martin,Jonas ,9 avr. 1990(28),9,Milieu central                            ,R. Strasbourg
